Block,Sample_no,Site,Position,Date,DBH_cm,AntRes_1min,NumSpines_distal60cm,DiamLargestSpine_mm,Leaf1_Rachis_cm,Leaf1_NumEFN,Leaf1_LengthEFN_mm,Leaf2_Rachis_cm,Leaf2_NumEFN,Leaf2_LengthEFN_mm,Leaf3_Rachis_cm,Leaf3_NumEFN,Leaf3_LengthEFN_mm,Mean_Rachis_cm,Mean_LengthEFN_mm,log_AntRes,DBH_rel_to_median
F1,11,FALCONEANA,UPSTREAM,1/30/13,0.35,5,,,10.4,4,5.7,10.05,4,3.6,9.8,3,4.2,10.08333333,4.5,1.609437912,Below
F1,12,FALCONEANA,UPSTREAM,1/30/13,8.4,7,,,10.7,4,6.8,9.2,4,5.6,3.95,3,2.7,7.95,5.033333333,1.945910149,Above
F1,13,FALCONEANA,UPSTREAM,1/30/13,3.9,23,,,5,3,3.7,6,3,4,3.2,4,4.4,4.733333333,4.033333333,3.135494216,Above
F1,14,FALCONEANA,UPSTREAM,1/30/13,6.5,2,,,4.5,2,2.6,2.9,1,2,4.3,3,3.3,3.9,2.633333333,0.693147181,Above
F1,15,FALCONEANA,UPSTREAM,1/30/13,3.9,16,,,11.1,3,6.1,1.1,3,2.5,0.6,2,2.2,4.266666667,3.6,2.772588722,Above
F1,16,FALCONEANA,UPSTREAM,1/30/13,2,41,,,3.8,2,1.9,3.1,2,2.6,2.85,2,2.8,3.25,2.433333333,3.713572067,Below
F1,17,FALCONEANA,UPSTREAM,1/30/13,3.4,60,,,3.5,2,2.3,3.6,2,2.7,1.6,2,1.8,2.9,2.266666667,4.094344562,Above
F1,18,FALCONEANA,UPSTREAM,1/30/13,4.6,11,,,5.4,2,2.9,4.2,2,2.6,3,2,3,4.2,2.833333333,2.397895273,Above
F1,19,FALCONEANA,UPSTREAM,1/30/13,0.8,74,,,8.8,3,4.3,8.7,4,4.8,2.7,3,4.8,6.733333333,4.633333333,4.304065093,Below
F1,20,FALCONEANA,UPSTREAM,1/30/13,0.65,83,,,8.7,4,4.3,7,4,4.3,3.5,2,3.2,6.4,3.933333333,4.418840608,Below
F1,21,FALCONEANA,UPSTREAM,1/30/13,1.6,42,,,7.9,3,3.3,3.5,3,4.3,2.2,2,2.9,4.533333333,3.5,3.737669618,Below
F1,22,FALCONEANA,UPSTREAM,1/30/13,1.9,22,,,5.6,3,3.9,3.2,3,3.2,2.7,2,2.2,3.833333333,3.1,3.091042453,Below
F1,23,FALCONEANA,UPSTREAM,1/30/13,2,34,,,6.1,4,4,5,3,3.3,3.8,3,3.8,4.966666667,3.7,3.526360525,Below
F1,24,FALCONEANA,UPSTREAM,1/30/13,2.8,45,,,3.7,1,2.2,2.2,2,1.7,0.8,1,2.1,2.233333333,2,3.80666249,Above
F1,25,FALCONEANA,UPSTREAM,1/30/13,0.9,5,,,10.1,3,3.4,5.3,2,5.4,5,2,2.3,6.8,3.7,1.609437912,Below
F1,26,FALCONEANA,UPSTREAM,1/30/13,9.5,0,,,4.8,2,2.5,4,2,2.8,4.9,2,2.5,4.566666667,2.6,,Above
F1,27,FALCONEANA,UPSTREAM,1/30/13,6.4,3,,,6.9,2,2.6,3.1,1,1.9,2.8,3,3,4.266666667,2.5,1.098612289,Above
F1,28,FALCONEANA,UPSTREAM,1/30/13,1.8,32,,,7.7,3,4.1,6.1,2,2.9,4.2,1,2.1,6,3.033333333,3.465735903,Below
F1,29,FALCONEANA,UPSTREAM,1/30/13,1.4,41,,,7.1,4,4.2,6.7,4,4.2,5,5,4.3,6.266666667,4.233333333,3.713572067,Below
F1,30,FALCONEANA,UPSTREAM,1/30/13,0.4,12,,,6.5,4,4.2,3.9,3,2.6,2.5,1,2.2,4.3,3,2.48490665,Below
F2,1,FALCONEANA,DOWNSTREAM,1/30/13,8.8,3,,,7.4,2,4.3,4.1,1,2.2,3.3,3,2.1,4.933333333,2.866666667,1.098612289,Above
F2,2,FALCONEANA,DOWNSTREAM,1/30/13,3.2,2,,,6.2,3,3.8,3.2,2,3.1,2.7,2,2.3,4.033333333,3.066666667,0.693147181,Above
F2,3,FALCONEANA,DOWNSTREAM,1/30/13,2.3,2,,,5,4,4.2,3.9,2,2.5,2.6,1,2.3,3.833333333,3,0.693147181,Above
F2,4,FALCONEANA,DOWNSTREAM,1/30/13,6.2,1,,,3.5,2,3.7,3.3,2,2.7,2.5,2,2.1,3.1,2.833333333,0,Above
F2,5,FALCONEANA,DOWNSTREAM,1/30/13,3.2,0,,,7.2,2,4.6,6.4,3,4.9,7.4,1,2.2,7,3.9,,Above
F2,6,FALCONEANA,DOWNSTREAM,1/30/13,0.3,0,,,4.2,2,4,4.9,1,2.5,2.6,1,2.3,3.9,2.933333333,,Below
F2,7,FALCONEANA,DOWNSTREAM,1/30/13,0.4,56,,,7.2,2,3.2,2.5,2,2.6,2.1,1,2,3.933333333,2.6,4.025351691,Below
F2,8,FALCONEANA,DOWNSTREAM,1/30/13,0.5,49,,,7.8,1,2.9,7.1,1,2.1,4.7,1,1.6,6.533333333,2.2,3.891820298,Below
